Measure_code,AIRA_SIMPLE,COUNTRY_REGION
AIRA_18,NO,IRL
AIRA_18,NO,ISR
AIRA_18,NO,ITA
AIRA_18,NO,KAZ
AIRA_18,NO,KGZ
AIRA_18,NO,LVA
AIRA_18,NO,LTU
AIRA_18,NO,LUX
AIRA_18,NO,MLT
AIRA_18,NO,MNE
AIRA_18,YES,NLD
AIRA_18,NO,MKD
AIRA_18,YES,NOR
AIRA_18,NO,POL
AIRA_18,NO,PRT
AIRA_18,NO,MDA
AIRA_18,NO,ROU
AIRA_18,NO,RUS
AIRA_18,NO,SMR
AIRA_18,NO,SRB
AIRA_18,NO,SVK
AIRA_18,NO,SVN
AIRA_18,YES,ESP
AIRA_18,YES,SWE
AIRA_18,NO,CHE
AIRA_18,NO,TUR
AIRA_18,NO,TJK
AIRA_18,NO,UKR
AIRA_18,YES,GBR
AIRA_18,YES,UZB
AIRA_18,,BIH
AIRA_18,,MCO
AIRA_18,,TKM
AIRA_19,YES,ALB
AIRA_19,NO,AND
AIRA_19,NO,ARM
AIRA_19,NO,AUT
AIRA_19,NO,AZE
AIRA_19,NO,BLR
AIRA_19,YES,BEL
AIRA_19,NO,BGR
AIRA_19,NO,HRV
AIRA_19,NO,CYP
AIRA_19,NO,CZE
AIRA_19,NO,DNK
AIRA_19,NO,EST
AIRA_19,NO,FIN
AIRA_19,NO,FRA
AIRA_19,NO,GEO
AIRA_19,NO,DEU
AIRA_19,NO,GRC
AIRA_19,NO,HUN
AIRA_19,NO,ISL
AIRA_19,NO,IRL
AIRA_19,NO,ISR
AIRA_19,YES,ITA
AIRA_19,NO,KAZ
AIRA_19,NO,KGZ
AIRA_19,NO,LVA
AIRA_19,NO,LTU
AIRA_19,NO,LUX
AIRA_19,NO,MLT
AIRA_19,NO,MNE
AIRA_19,NO,NLD
AIRA_19,NO,MKD
AIRA_19,NO,NOR
AIRA_19,NO,POL
AIRA_19,NO,PRT
AIRA_19,NO,MDA
AIRA_19,NO,ROU
AIRA_19,YES,RUS
AIRA_19,NO,SMR
AIRA_19,NO,SRB
AIRA_19,NO,SVK
AIRA_19,NO,SVN
AIRA_19,YES,ESP
AIRA_19,NO,SWE
AIRA_19,NO,CHE
